Composite_Name,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10
mc_05001000_lew500.fits,0.03414652900203415,0.0359636975462928,0.034931067206522635,0.0683769602921358,0.03597171203560723,0.052258893261299434,0.04289751474663276,0.027835817488143674,0.0003268540431923935,0.05406955696976584
mc_10001500_lew500p2.fits,0.05846199338852783,0.005061099728559994,0.051028983364447535,0.0529347569469691,0.03154175763053784,0.05417228005122316,0.020503261316179452,0.03626391856082112,-0.0011054138141857802,0.04797188955244019
mc_15002000_lew500p2.fits,0.05569257751340447,0.024127441081803654,0.03884957715387211,0.047504360491692904,0.020775297464136692,0.05086556768357047,0.02256874868475744,0.043296657659654444,0.00210365629495858,0.05560586139261158
mc_00000500_lew500p2.fits,0.061047218516473045,-0.03008502805240621,0.08853185828195263,0.06971209662537982,0.057457763359280455,0.049806496983697865,0.011672293501644603,0.014137586655430204,-0.03996961363530904,0.028543311012544252
mc_20002500_025050.fits,0.0614639621030312,0.02744135984907481,0.03668638859909747,0.03914230105965259,0.01144785516176944,0.051290288058789386,0.013030864227152116,0.052769962353536176,-0.008247821779783579,0.05402808516451533
mc_m10000500_all.fits,0.03954657660245309,-0.034287154172681286,0.09492118356479463,0.12882801205201164,0.061232265727705404,0.03850701184659001,0.024420136637290955,0.021082630887763666,-0.04512199013284087,0.03389063206149483
mc_00000500_lew500p3.fits,0.0697146753767237,-0.05731439809457348,0.11256419475936506,0.06640297686366131,0.07509798660232792,0.051049546800404584,0.0013899418328628564,0.005745432732950645,-0.06328928404746884,0.019009093917679094
mc_00000500_lew500.fits,0.025217849114383805,0.03704736273739476,0.043174235199326456,0.07803002444596895,0.04293634954892042,0.04924987354812301,0.04531207252893994,0.030093205149401794,-0.01029583255610706,0.05402012258210449
mc_15002000_lew500p3.fits,0.06067452799571329,0.013023056994769813,0.046095652534774725,0.04443786752044634,0.020973861001738755,0.056445228548137265,0.016238156810552767,0.045873011364080826,-0.0013695175438930792,0.052299063225588874
mc_10001500_lew500p3.fits,0.06565832080417162,-0.013371281694182289,0.06986677758149218,0.048464086283301795,0.033322623484217134,0.05932535824879609,0.010133881258226542,0.03752030499122052,-0.00909326194007473,0.04504105919548548
mc_00000500_lew500p4.fits,0.09223414261282258,-0.10334774903908278,0.1483449466285819,0.060546227880328526,0.09605152573350728,0.04484499467903984,-0.021859673524967177,-0.007128268147169396,-0.090616083701035,0.005017319742218424
mc_10001500_hew500.fits,0.08668586724765423,-0.053506256585383716,0.10146693233035319,0.04631285417465225,0.03256302953692869,0.06292366934459839,-0.010256064032174753,0.03125269769976405,-0.02569281655909078,0.036625190396443394
mc_m05000000_lew500p1.fits,0.03683499622855503,-0.003976531587867649,0.08056081588411507,0.09438785310220493,0.05188460414080766,0.04172967376252634,0.03019867284896017,0.023662521140594955,-0.028717357463105143,0.035970323590446135
